"CollectionName","Identifier","ImageUniqueID","ImageDescription","Photographer","Contributor","DateTimeOriginal","DateTimeDigitized","LocationShownCountryName","LocationShownSublocation","GPSLongitude","GPSLongitudeRef","GPSLatitude","GPSLatitudeRef","WaterDepth","Copyright","Source","UserComment"
"The Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968)","db830","341fc387-3e12-4e9b-ac06-0ec56338e731","Photograph from the Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968).","Eileen Graham","Kenneth Johnson (digitising) | Lewis A. Jones (image processing)","1967:01:14 00:00:00","2013:10:10 11:45:00","Jamaica","Jamaica | Discovery Bay | Buoy Mooring (1960s)",77.40908,"W",18.47322,"N","","Trustees of the Natural History Museum (London, UK), CC-BY-4.0","https://data.nhm.ac.uk/dataset/coral-reef-imagery-by-eileen-graham-of-jamaica-in-the-1960s",""
"The Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968)","db831","09d5c55e-979c-4b38-89ed-f215223862bc","Photograph from the Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968).","Eileen Graham","Kenneth Johnson (digitising) | Lewis A. Jones (image processing)","1967:01:18 00:00:00","2013:10:10 11:45:00","Jamaica","Jamaica | Discovery Bay | Buoy Upper Slope",77.40908,"W",18.47322,"N","","Trustees of the Natural History Museum (London, UK), CC-BY-4.0","https://data.nhm.ac.uk/dataset/coral-reef-imagery-by-eileen-graham-of-jamaica-in-the-1960s",""
"The Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968)","db832","aac599c6-5162-4b76-885d-3adc5ebb7604","Photograph from the Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968).","Eileen Graham","Kenneth Johnson (digitising) | Lewis A. Jones (image processing)","1967:01:18 00:00:00","2013:10:10 11:45:00","Jamaica","Jamaica | Discovery Bay | Buoy Upper Slope",77.40908,"W",18.47322,"N","","Trustees of the Natural History Museum (London, UK), CC-BY-4.0","https://data.nhm.ac.uk/dataset/coral-reef-imagery-by-eileen-graham-of-jamaica-in-the-1960s",""
"The Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968)","db833","19e56a4a-6d2f-416d-b211-c718c324e6de","Photograph from the Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968).","Eileen Graham","Kenneth Johnson (digitising) | Lewis A. Jones (image processing)","1967:01:18 00:00:00","2013:10:10 11:45:00","Jamaica","Jamaica | Discovery Bay | Buoy Upper Slope",77.40908,"W",18.47322,"N","","Trustees of the Natural History Museum (London, UK), CC-BY-4.0","https://data.nhm.ac.uk/dataset/coral-reef-imagery-by-eileen-graham-of-jamaica-in-the-1960s",""
"The Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968)","db834","af95d805-4eb1-4648-86c6-a4d6e3d7b818","Photograph from the Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968).","Eileen Graham","Kenneth Johnson (digitising) | Lewis A. Jones (image processing)","1967:01:18 00:00:00","2013:10:10 11:45:00","Jamaica","Jamaica | Discovery Bay | Buoy Upper Slope",77.40908,"W",18.47322,"N","","Trustees of the Natural History Museum (London, UK), CC-BY-4.0","https://data.nhm.ac.uk/dataset/coral-reef-imagery-by-eileen-graham-of-jamaica-in-the-1960s",""
"The Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968)","db835","bbadd85b-f469-4699-8a42-87695526ae85","Photograph from the Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968).","Eileen Graham","Kenneth Johnson (digitising) | Lewis A. Jones (image processing)","1967:01:18 00:00:00","2013:10:10 11:45:00","Jamaica","Jamaica | Discovery Bay | Upper Buoy Escarpment",77.409,"W",18.4726,"N","","Trustees of the Natural History Museum (London, UK), CC-BY-4.0","https://data.nhm.ac.uk/dataset/coral-reef-imagery-by-eileen-graham-of-jamaica-in-the-1960s",""
"The Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968)","db836","7259f43c-a937-431d-8919-c3e6e67afe51","Photograph from the Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968).","Eileen Graham","Kenneth Johnson (digitising) | Lewis A. Jones (image processing)","1967:01:18 00:00:00","2013:10:10 11:45:00","Jamaica","Jamaica | Discovery Bay | Buoy Upper Slope",77.40908,"W",18.47322,"N","","Trustees of the Natural History Museum (London, UK), CC-BY-4.0","https://data.nhm.ac.uk/dataset/coral-reef-imagery-by-eileen-graham-of-jamaica-in-the-1960s",""
"The Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968)","db837","3d0a0f55-c027-4003-8c96-7772ea4bc173","Photograph from the Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968).","Eileen Graham","Kenneth Johnson (digitising) | Lewis A. Jones (image processing)","1967:01:18 00:00:00","2013:10:10 11:45:00","Jamaica","Jamaica | Discovery Bay | Buoy Upper Slope",77.40908,"W",18.47322,"N","","Trustees of the Natural History Museum (London, UK), CC-BY-4.0","https://data.nhm.ac.uk/dataset/coral-reef-imagery-by-eileen-graham-of-jamaica-in-the-1960s",""
"The Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968)","db838","4cebdc1e-79c3-4d02-b0ae-c2ae14aabe29","Photograph from the Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968).","Eileen Graham","Kenneth Johnson (digitising) | Lewis A. Jones (image processing)","1967:01:18 00:00:00","2013:10:10 11:45:00","Jamaica","Jamaica | Discovery Bay | Buoy Upper Slope",77.40908,"W",18.47322,"N","","Trustees of the Natural History Museum (London, UK), CC-BY-4.0","https://data.nhm.ac.uk/dataset/coral-reef-imagery-by-eileen-graham-of-jamaica-in-the-1960s",""
"The Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968)","db839","24a60376-a640-4d99-908b-083b58c642d0","Photograph from the Eileen Graham Collection (Discovery Bay, Jamaica, 1966 to 1968).","Eileen Graham","Kenneth Johnson (digitising) | Lewis A. Jones (image processing)","1967:01:18 00:00:00","2013:10:10 11:46:00","Jamaica","Jamaica | Discovery Bay | Buoy Upper Slope",77.40908,"W",18.47322,"N","","Trustees of the Natural History Museum (London, UK), CC-BY-4.0","https://data.nhm.ac.uk/dataset/coral-reef-imagery-by-eileen-graham-of-jamaica-in-the-1960s",""
